Date,type,part_number,warehouse_no,ship_qty,order_qty,avg_order_price
7/1/2015,fast mover,10643-10-8-BULK,6,900,0,3.69
8/1/2015,fast mover,10643-10-8-BULK,6,975,0,3.69
9/1/2015,fast mover,10643-10-8-BULK,6,300,0,3.69
10/1/2015,fast mover,10643-10-8-BULK,6,600,0,3.69
11/1/2015,fast mover,10643-10-8-BULK,6,600,0,3.69
12/1/2015,fast mover,10643-10-8-BULK,6,510,0,3.69
1/1/2016,fast mover,10643-10-8-BULK,6,1200,0,3.69
2/1/2016,fast mover,10643-10-8-BULK,6,2025,0,3.69
3/1/2016,fast mover,10643-10-8-BULK,6,900,0,3.69
4/1/2016,fast mover,10643-10-8-BULK,6,450,0,3.69
5/1/2016,fast mover,10643-10-8-BULK,6,1005,0,3.69
6/1/2016,fast mover,10643-10-8-BULK,6,525,0,3.69
7/1/2016,fast mover,10643-10-8-BULK,6,375,0,3.69
8/1/2016,fast mover,10643-10-8-BULK,6,225,0,3.69
9/1/2016,fast mover,10643-10-8-BULK,6,150,0,3.69
10/1/2016,fast mover,10643-10-8-BULK,6,225,0,3.69
11/1/2016,fast mover,10643-10-8-BULK,6,150,0,3.69
12/1/2016,fast mover,10643-10-8-BULK,6,75,0,3.69
1/1/2017,fast mover,10643-10-8-BULK,6,525,0,3.69
2/1/2017,fast mover,10643-10-8-BULK,6,300,0,3.69
3/1/2017,fast mover,10643-10-8-BULK,6,375,0,3.69
4/1/2017,fast mover,10643-10-8-BULK,6,525,0,3.69
5/1/2017,fast mover,10643-10-8-BULK,6,450,0,3.69
6/1/2017,fast mover,10643-10-8-BULK,6,225,0,3.69
7/1/2017,fast mover,10643-10-8-BULK,6,150,0,3.69
8/1/2017,fast mover,10643-10-8-BULK,6,203,0,3.69
9/1/2017,fast mover,10643-10-8-BULK,6,22,0,3.69
10/1/2017,fast mover,10643-10-8-BULK,6,300,0,3.69
11/1/2017,fast mover,10643-10-8-BULK,6,150,0,3.69
12/1/2017,fast mover,10643-10-8-BULK,6,75,0,3.69
1/1/2018,fast mover,10643-10-8-BULK,6,645,0,3.69
2/1/2018,fast mover,10643-10-8-BULK,6,450,0,3.69
3/1/2018,fast mover,10643-10-8-BULK,6,225,0,3.69
4/1/2018,fast mover,10643-10-8-BULK,6,288,0,3.69
5/1/2018,fast mover,10643-10-8-BULK,6,375,0,3.69
6/1/2018,fast mover,10643-10-8-BULK,6,375,0,3.69
7/1/2018,fast mover,10643-10-8-BULK,6,600,0,3.69
8/1/2018,fast mover,10643-10-8-BULK,6,225,0,3.69
9/1/2018,fast mover,10643-10-8-BULK,6,150,0,3.69
10/1/2018,fast mover,10643-10-8-BULK,6,375,0,3.69
11/1/2018,fast mover,10643-10-8-BULK,6,300,0,3.69
12/1/2018,fast mover,10643-10-8-BULK,6,225,0,3.69
1/1/2019,fast mover,10643-10-8-BULK,6,375,75,3.68
2/1/2019,fast mover,10643-10-8-BULK,6,450,0,3.69
3/1/2019,fast mover,10643-10-8-BULK,6,300,0,3.69
4/1/2019,fast mover,10643-10-8-BULK,6,600,0,3.69
5/1/2019,fast mover,10643-10-8-BULK,6,375,0,3.69
6/1/2019,fast mover,10643-10-8-BULK,6,300,75,3.79
7/1/2019,fast mover,10643-10-8-BULK,6,450,0,3.69
8/1/2019,fast mover,10643-10-8-BULK,6,450,0,3.69
9/1/2019,fast mover,10643-10-8-BULK,6,600,0,3.69
10/1/2019,fast mover,10643-10-8-BULK,6,565,0,3.69
11/1/2019,fast mover,10643-10-8-BULK,6,225,0,3.69
12/1/2019,fast mover,10643-10-8-BULK,6,260,0,3.69
1/1/2020,fast mover,10643-10-8-BULK,6,225,0,3.69
2/1/2020,fast mover,10643-10-8-BULK,6,225,0,3.69
3/1/2020,fast mover,10643-10-8-BULK,6,450,0,3.69
4/1/2020,fast mover,10643-10-8-BULK,6,300,0,3.69
5/1/2020,fast mover,10643-10-8-BULK,6,375,0,3.69
6/1/2020,fast mover,10643-10-8-BULK,6,300,75,3.6
7/1/2020,fast mover,10643-10-8-BULK,6,525,0,3.69
8/1/2020,fast mover,10643-10-8-BULK,6,300,0,3.69
9/1/2020,fast mover,10643-10-8-BULK,6,375,0,3.69
10/1/2020,fast mover,10643-10-8-BULK,6,0,0,3.69
11/1/2020,fast mover,10643-10-8-BULK,6,0,0,3.69
12/1/2020,fast mover,10643-10-8-BULK,6,75,0,3.69
7/1/2015,fast mover,10643-10-8-BULK,10,450,0,
8/1/2015,fast mover,10643-10-8-BULK,10,900,0,
9/1/2015,fast mover,10643-10-8-BULK,10,600,0,
10/1/2015,fast mover,10643-10-8-BULK,10,1200,0,
11/1/2015,fast mover,10643-10-8-BULK,10,450,0,
12/1/2015,fast mover,10643-10-8-BULK,10,600,0,
1/1/2016,fast mover,10643-10-8-BULK,10,750,0,
2/1/2016,fast mover,10643-10-8-BULK,10,525,0,
3/1/2016,fast mover,10643-10-8-BULK,10,825,0,
4/1/2016,fast mover,10643-10-8-BULK,10,375,0,
5/1/2016,fast mover,10643-10-8-BULK,10,600,0,
