Date,Geography,Heavy Trucks - Class 8,Heavy Trucks - Class 5-7,Automotive,Zinc,Heating Oil Spot,Baltic Dry Index,Iron Ore,Soybeans,Copper Warehouse Stock Vol.,Industrial Metals Spot Price,Corn,Brent Spot,Steel,Copper,Agricultural Spot Price Index,U.S. NatGas Spot,WTI Spot,Nickel Warehouse Stock Vol.,Nickel,Zinc Warehouse Stock Vol.,Wheat,Grains,U.S. Gasoline Spot,Industrial Production,Business Confidence,Consumer Confidence,Equity Markets,Exports,Housing Starts,Retail Sales,Unemployment Rates,GDP,Aerospace,Agriculture Machinery,HVAC,Industrial Machinery,Machine Tools,Medical Equipment,Mining & Construction Machinery,Oil/Gas Extraction,Power Gen,Purchasing Managers,Producer Price,Semiconductors/Electronics
1/1/2009,North America,,,832031,1858.26087,375.6718182,8341,60.8,13.9975,128015.2174,438.52,5.36,134.2736364,5104.545455,8409.804348,435.6602591,11.0634091,133.4440909,45296.6087,20132.71739,152415.2174,524.52,522.45,301.59,-0.019744,99.2855081,51.9431542,1257.327044,118.309,923,336.771,0.058,,98.3282,73.5762,109.8076,106.9772,103.8956,99.1773,88.68597,82.7269,81.4348,50,109.345688,373333333
2/1/2009,North America,,,1044161,1733.9,317.071,6809,60.8,13.235,156007.5,409.51,5.35,114.9528571,4664.285714,7650.175,410.5673333,8.25,116.6971429,45666.6,18987.625,163347.5,537.04,520.01,305.42,-0.035239,98.8748893,58.4756529,1281.47253,116.219,844,334.045,0.061,,93.8487,76.5963,109.2694,109.4555,102.6292,102.2075,89.292,80.7915,90.1521,49.2,108.857215,373333333
3/1/2009,North America,,,1094176,1741.272727,290.7609524,3217,60.8,9.8,198485.2273,354.36,4.4,100.0557143,3136.190476,6990.909091,379.835925,7.6695238,103.8957143,51425.18182,17865.56818,158079.5455,455.71,431.74,265.02,-0.0758,98.0468709,61.3729842,1217.008509,107.172,820,328.343,0.061,,73.7893,71.2859,100.9757,106.3362,100.6755,100.7243,89.788335,67.6049,90.112,44.8,109.073431,373333333
4/1/2009,North America,,,1132414,1301.652174,222.4395652,851,60.8,8.9675,210226.087,260.63,3.6,72.5191304,1880,4892.565217,299.3621739,6.7308696,76.6,56058.78261,12164.13043,168333.6957,360.81,355.75,142.97,-0.064046,97.1441096,38.8289815,968.8013881,105.006,777,314.83,0.065,,69.8656,71.6088,103.2804,103.2371,97.4121,99.271,82.452905,76.6656,92.612,38.9,107.219506,470000000
5/1/2009,North America,,,854260,1165.4,185.8022222,715,60.8,8.61,270758.75,228.95,3.19,53.903,923.6842105,3753.05,285.5345789,6.6861111,57.2836842,60043.2,10809.5,184842.5,375.37,346.16,115.61,-0.080572,96.4304166,44.6510425,883.0409938,97.819,652,301.332,0.068,,78.0958,72.7194,95.0522,101.6902,93.9742,98.954,81.6628,80.1701,91.345,36.5,104.022381,470000000
6/1/2009,North America,,,703310,1113.869048,139.87,774,69.98,9.5975,313745.2381,204.91,3.73,40.8768182,1712.272727,3109.190476,279.7907455,5.8307143,41.0213636,70401.42857,9844.880952,226053.5714,408.13,381.03,104.33,-0.106181,96.0280881,38.6229545,877.5620408,87.992,560,294.025,0.073,,88.2136,75.9843,86.6766,98.2376,88.3284,99.0658,73.083845,79.8841,77.9365,33.1,101.89985,470000000
7/1/2009,North America,,,423236,1194.690476,146.4315,1070,72.51,9.675,399367.8571,195.1,3.53,44.1525,1830,3237.976191,303.6369,5.23,41.7385,79921.42857,11467.97619,281501.1905,381.29,361.19,131.17,-0.125049,96.0649328,37.3831205,865.5752478,82.415,490,298.673,0.078,-3.2708422,87.7542,69.2614,85.1055,91.6832,84.8143,98.7704,72.908535,81.4458,76.0506,34.9,102.292464,373333333
8/1/2009,North America,,,590315,1116.45,127.7794737,1986,75.59,8.695,522243.75,199.22,3.4,43.7305263,1766.842105,3328.575,289.3404211,4.515,39.1610526,90205.2,10458.875,352390,350.98,333.08,128.5,-0.129954,96.2790708,25.3026513,805.2270114,84.903,582,297.631,0.083,-3.2708422,89.5456,68.4939,89.3785,87.1897,80.2827,96.864,71.01944,81.8614,74.8568,35.5,102.398995,373333333
9/1/2009,North America,,,685025,1221.454546,128.3022727,1615,64.07,9.445,508198.8636,220.69,3.82,46.7663636,1577.272727,3770.75,285.0399091,3.9392857,47.98,101489.4545,9706.25,347170.4545,358.68,357.82,131.25,-0.141503,96.6536921,26.9014156,757.1268634,83.5,505,292.3,0.087,-3.2708422,89.7154,68.4771,86.2,79.6924,74.1683,96.5746,64.875025,81.4975,68.7872,36,101.623783,373333333
10/1/2009,North America,,,666456,1386.5,135.947619,1786,59.78,10.64,466917.5,241.6,3.8,50.2990476,1500,4433.925,299.6640476,3.4966667,49.7947619,107305.5,11257.125,344765,362.03,367.79,139.4,-0.143489,97.2239073,40.8092939,848.1516809,81.088,478,293.614,0.09,-4.0508644,87.7763,68.2278,87.6053,74.887,69.8792,96.8453,62.54291,81.9448,65.9076,39.5,101.8893,230000000
